name,lat,lon,vars,star,end,accum_TCP_50Y,accum_TCP_1TC,TCP_p70,TCP_p80,TCP_p90,TCP_p95,TCP_p100,TCP_p99,num_record
USC00161565,30.1981,-91.1256,PRCP,1937,2020,5824.240059863596,6.811976678203036,34.36517431434813,49.35999999999998,70.4,99.42500000000001,161.8,152.2430000000001,168
USC00162212,30.2408,-92.3478,PRCP,1906,2020,5350.384703022444,6.2577598865759585,35.51382620577767,42.06,70.88,98.74999999999999,169.4,127.36400000000012,155
USC00162534,30.0719,-91.0278,PRCP,1893,2020,6008.341959457138,7.027300537376769,33.85167140109589,39.88000000000001,63.5,95.97999999999996,154.2,136.12099999999998,184
USC00163313,29.8233,-91.5442,PRCP,1893,2020,5786.165002495186,6.767444447362791,33.287681941666314,38.61549463318061,66.3,86.4,203.2,159.11999999999995,181
USC00163433,29.4631,-90.3072,PRCP,1968,2020,6747.143405953386,7.891395796436709,34.36491843955149,41.10000000000001,76.22000000000003,129.85,242.6,190.70999999999998,187
USC00163800,30.4183,-92.0442,PRCP,1893,2020,5627.633000145333,6.582026900754776,32.37904111601987,49.480000000000075,86.32000000000005,107.33999999999989,198.1,151.42399999999998,157
USC00164674,29.9592,-91.7108,PRCP,1892,2020,5402.865391996661,6.319140809352819,33.12,36.86210732134138,60.24000000000005,98.50000000000001,184.7,144.912,173
USC00164700,30.2003,-92.6642,PRCP,1897,2020,6206.068584859868,7.258559748374115,33.367241734756625,48.8,87.4,133.6,238.5,206.60000000000016,161
USC00164816,32.355,-93.8619,PRCP,1940,2020,2693.076195352601,3.1497967197106447,31.5308029524579,36.158825860252676,57.760000000000005,72.27999999999999,197.1,142.98000000000027,89
USC00164931,32.4169,-93.4428,PRCP,1947,2020,2771.2359311434916,3.241211615372505,34.24084757631071,44.02,50.65,96.32,115.3,114.47,84
USC00165266,31.1417,-93.2397,PRCP,1903,2020,4531.22654859025,5.299680173789766,37.16,53.96000000000001,81.68000000000002,109.57999999999997,174.5,158.905,120
USC00165920,31.1289,-92.065,PRCP,1963,2020,4568.796341492394,5.343621452037888,37.489999999999995,49.76000000000001,91.02000000000011,133.70999999999998,221.2,189.221,110
USC00166394,29.6833,-91.1761,PRCP,1905,2020,6233.959721484838,7.29118096080098,36.01,51.260000000000005,81.02000000000001,103.33499999999998,144.5,125.56099999999996,182
USC00166938,30.6036,-92.7739,PRCP,1952,2020,5458.234891599658,6.383900458011296,35.6,51.6,85.3,127.0,398.8,173.41999999999996,141
USC00167304,30.7111,-90.7525,PRCP,1942,2020,6273.617270892464,7.33756405952335,33.920959102692805,47.5,68.6,89.60000000000001,218.4,191.575,176
USC00167932,29.7286,-92.8181,PRCP,1964,2020,5323.007485683622,6.22573974933757,32.76073724506113,44.06000000000001,82.77999999999997,114.56999999999988,184.2,162.76600000000013,155
USC00168163,31.9497,-91.2336,PRCP,1894,2020,3807.5953985515175,4.453327951522243,33.23140512187068,40.23121127201375,56.86999999999998,103.96999999999997,150.6,149.873,118
